Sentence,Translated Gujarati
"The biopsy results confirm early-stage breast cancer. I'd like to refer you to an oncologist to discuss treatment options like surgery, radiation or chemotherapy."," 'Biopsy ના પરિણામો પ્રારંભિક તબક્કાના સ્તન કેન્સરની પુષ્ટિ કરે છે. હું તમને સર્જરી, રેડિએશન અથવા કીમોથેરાપી જેવા સારવારના વિકલ્પો વિશે ચર્ચા કરવા માટે એક ઓન્કોલોજિસ્ટને રેફર કરવા માંગુ છું.', type='text')]"
"For your frequent migraines, a preventive medication like topiramate could help reduce their frequency and severity."," 'તમારા વારંવારના માઈગ્રેનની સારવાર માટે, ટોપિરામેટ જેવી નિવારક દવા તેમની આવૃત્તિ અને તીવ્રતા ઘટાડવામાં મદદ કરી શકે છે.', type='text')]"
"Based on your symptoms and exam, I suspect rheumatoid arthritis. I'd like to start you on a disease-modifying drug like methotrexate."," 'તમારા લક્ષણો અને તપાસના આધારે, મને રુમેટોઇડ આર્થ્રાઇટિસની શંકા છે. હું તમને મેથોટ્રેક્સેટ જેવી રોગ-સુધારક દવા શરૂ કરવા માગું છું.', type='text')]"
"To help control your asthma, an inhaled corticosteroid like fluticasone along with a long-acting bronchodilator will reduce inflammation and prevent flares."," 'તમારા અસ્થમાને નિયંત્રિત કરવામાં મદદ કરવા માટે, ફ્લુટિકાસોન જેવા ઇન્હેલ્ડ કોર્ટિકોસ્ટિરોઇડ્સ લાંબા સમયથી અસરકારક બ્રોન્કોડાયલેટર સાથે સોજો ઘટાડશે અને ફ્લેર-અપ્સને અટકાવશે.', type='text')]"
How did you sleep last night? Any pain or difficulty breathing?," 'ગઈ રાત્રે તમે કેવી રીતે સૂઈ ગયા? શ્વાસ લેવામાં કોઈ દર્દ કે તકલીફ છે?', type='text')]"
Your vital signs look stable. How's your appetite been?," 'તમારા મહત્ત્વના સંકેતો સ્થિર દેખાય છે. તમારી ભૂખ કેવી રીતે છે?', type='text')]"
The head CT showed no signs of bleeding. We'll continue to monitor your concussion symptoms closely.," 'માથાનો CT સ્કેન લોહીવહેવાની કોઈ નિશાનીઓ બતાવતો નથી. અમે તમારી મગજની ઈજાના લક્ષણો પર નજીકથી નજર રાખીશું.', type='text')]"
"Your white blood cell count is trending down, which is a good sign that the infection is improving with the antibiotics."," 'Your white blood cell count is trending down, which is a good sign that the infection is improving with the antibiotics.\n\nતમારા વ્હાઇટ બ્લડ સેલ્સની સંખ્યા ઘટી રહી છે, જે એક સારી નિશાની છે કે એન્ટિબાયોટિક્સથી ચેપ સુધરી રહ્યો છે.', type='text')]"
I saw you were able to walk down the hall yesterday with physical therapy - that's great progress after your hip surgery!," 'મેં જોયું કે ગઈકાલે ફિઝિકલ થેરપી સાથે તમે હૉલમાં ચાલી શક્યા - તમારા હિપ સર્જરી પછી એ ખૂબ સારી પ્રગતિ છે!', type='text')]"
We're going to keep weaning down the oxygen levels as your pneumonia improves and your breathing normalizes.," 'ઑક્સિજનના સ્તરને ધીમે ધીમે ઘટાડવામાં આવશે જેમ જેમ તમારા ન્યુમોનિયામાં સુધારો થશે અને તમારો શ્વાસ સામાન્ય બનશે.', type='text')]"
The cardiologist will be by later today to discuss the results of your stress test and if you'll need a cardiac catheterization.," 'કાર્ડિયોલોજિસ્ટ આજે મોડેથી તમારા સ્ટ્રેસ ટેસ્ટના પરિણામો અને તમને કાર્ડિયાક કેથેટરાઈઝેશનની જરૂર છે કે નહીં તે વિશે ચર્ચા કરવા માટે આવશે.', type='text')]"
Your urine output has increased since adjusting your diuretic medication - that will help with the leg swelling from your heart failure.," 'Your urine output has increased since adjusting your diuretic medication - that will help with the leg swelling from your heart failure.\n\nડાયુરેટિક દવાઓમાં ફેરફાર કર્યા પછી તમારા પેશાબનું પ્રમાણ વધ્યું છે - તે તમારા હૃદયની નિષ્ફળતાને કારણે પગમાં સોજો આવવામાં મદદ કરશે.', type='text')]"
The repeat blood tests shows your potassium level has normalized - we can plan for discharge home tomorrow if all continues to go well.," ""The translation is incorrect and not related to the original English text. Here's the correct Gujarati translation:\n\nરિપીટ બ્લડ ટેસ્ટ બતાવે છે કે તમારું પોટેશિયમ લેવલ સામાન્ય થઈ ગયું છે - જો બધું સારું રહેશે તો આપણે આવતીકાલે ડિસ્ચાર્જ માટે પ્લાન કરી શકીએ છીએ."", type='text')]"
The biopsy results from your colonoscopy should be back later today - the GI doctor will review them with you and if any polyps were precancerous.," 'તમારી કોલોનોસ્કોપીના બાયોપ્સીના પરિણામો આજે મોડેથી આવી જવા જોઈએ - GI ડૉક્ટર તેમનું પરીક્ષણ કરશે અને જો કોઈ પોલિપ્સ કેન્સરપૂર્વના હશે તો તમને જણાવશે.', type='text')]"
"I'm prescribing metoprolol, a beta-blocker medication, to help control your high blood pressure and slow your heart rate."," 'હું તમારા હાઈ બ્લડ પ્રેશરને નિયંત્રિત કરવા અને તમારા હૃદયના ધબકારાને ધીમા કરવામાં મદદ કરવા માટે મેટોપ્રોલોલ નામની બીટા-બ્લોકર દવા લખી રહ્યો છું.', type='text')]"
Metformin is an oral medication you'll take twice daily with meals to help lower your blood sugar levels.," 'મેટફોર્મિન એક ઓરલ દવા છે જે તમે તમારા બ્લડ શુગરના સ્તરને ઘટાડવામાં મદદ કરવા માટે દિવસમાં બે વાર ભોજન સાથે લેશો.', type='text')]"
Atorvastatin is a statin drug that you'll take once daily to reduce your LDL or 'bad' cholesterol levels and lower your risk of heart attack and stroke.," ""Atorvastatin એ એક statin દવા છે જે તમે દરરોજ એક વાર લેશો જેનાથી તમારા LDL અથવા 'ખરાબ' કોલેસ્ટરોલના સ્તરને ઘટાડવામાં અને હાર્ટ એટેકના જોખમ અને સ્ટ્રોકને ઘટાડવામાં મદદ મળશે."", type='text')]"
"Sertraline is an antidepressant that can help improve your mood, energy levels and sleep over the next 4-6 weeks. You'll take this once daily, in the morning."," 'સેર્ટ્રાલીન એક એન્ટિડિપ્રેસન્ટ દવા છે જે આગામી 4-6 અઠવાડિયામાં તમારા મૂડ, ઊર્જાના સ્તર અને ઊંઘમાં સુધારો કરવામાં મદદ કરી શકે છે. તમારે આ દવા રોજ સવારે એક વાર લેવાની રહેશે.', type='text')]"
Albuterol is a rescue inhaler that you can use as needed for any asthma exacerbations - it will help relax the muscles around your airways when you're short of breath.," 'અલ્બુટેરોલ એક રેસ્ક્યુ ઇન્હેલર છે જેનો ઉપયોગ તમે શ્વાસની તકલીફ વખતે જરૂર પ્રમાણે કરી શકો છો - જ્યારે તમને શ્વાસ લેવામાં તકલીફ હોય ત્યારે તે તમારી શ્વાસનળીની આસપાસની સ્નાયુઓને આરામ આપવામાં મદદ કરશે.', type='text')]"
"I'm starting you on lisinopril, an ACE inhibitor that will help lower your blood pressure by relaxing your blood vessels. We'll start at a low dose and increase gradually."," 'હું તમને લિસિનોપ્રિલ પર શરૂ કરી રહ્યો છું, એક ACE ઇન્હિબિટર કે જે તમારી રક્તવાહિનીઓને આરામ આપીને તમારા બ્લડ પ્રેશરને ઘટાડવામાં મદદ કરશે. આપણે ઓછા ડોઝથી શરૂઆત કરીશું અને ધીમે ધીમે વધારીશું.', type='text')]"
"Alendronate is a bisphosphonate medication that you'll take once weekly, on an empty stomach, to help strengthen your bones and prevent fractures from osteoporosis."," 'અલેન્ડ્રોનેટ એક બિસ્ફોસ્ફોનેટ દવા છે જે તમે દર અઠવાડિયે એક વાર, ખાલી પેટે લેશો, જેનાથી તમારા હાડકાં મજબૂત થશે અને ઓસ્ટિઓપોરોસિસ કારણે થતા ફ્રેક્ચર્સને અટકાવવામાં મદદ મળશે.', type='text')]"
Levothyroxine is a thyroid hormone replacement pill that you'll take once daily to treat your underactive thyroid. We'll recheck your thyroid levels in 6-8 weeks.," 'લેવોથાયરોક્સિન એ થાયરોઇડ હોર્મોન રિપ્લેસમેન્ટ ગોળી છે જે તમે તમારી ઓછી સક્રિય થાયરોઇડની સારવાર માટે દિવસમાં એક વાર લેશો. અમે 6-8 અઠવાડિયામાં તમારા થાયરોઇડ લેવલ્સ ફરીથી તપાસીશું.', type='text')]"
Pantoprazole is a proton-pump inhibitor that will reduce the amount of acid your stomach makes to help with your heartburn symptoms. Take this pill once daily before breakfast.," 'પેનટોપ્રાઝોલ એક પ્રોટોન-પમ્પ ઇન્હિબિટર છે જે તમારા પેટમાં થતા એસિડના પ્રમાણને ઘટાડશે જેથી તમારા હૃદયના દાહના લક્ષણોમાં રાહત મળી શકે. આ ગોળી દરરોજ નાસ્તા પહેલાં એક વાર લો.', type='text')]"
Tamsulosin is an alpha-blocker medication that relaxes the muscles in your prostate and bladder to improve your urinary symptoms. Take it 30 min after the same meal each day.," 'ટેમ્સુલોસિન એ આલ્ફા-બ્લોકર દવા છે જે તમારી પ્રોસ્ટેટ અને મૂત્રાશયની સ્નાયુઓને આરામ આપે છે જેથી તમારા મૂત્રના લક્ષણોમાં સુધારો થાય. દરરોજ એક જ ભોજન પછી 30 મિનિટ બાદ લો.', type='text')]"
The coronary angiogram procedure involves inserting a thin catheter into an artery in your groin or wrist and injecting dye to take X-ray pictures of your heart arteries to check for blockages.," 'કોરોનરી એન્જિયોગ્રામ પ્રક્રિયામાં તમારી જાંઘ અથવા કાંડામાં એક ધમનીમાં પાતળી કેથેટર દાખલ કરવાનો અને તમારા હૃદયની ધમનીઓમાં અવરોધોની તપાસ કરવા માટે X-રે ચિત્રો લેવા માટે ડાઈ ઇન્જેક્ટ કરવાનો સમાવેશ થાય છે.', type='text')]"
"A hysterectomy is a surgery to remove your uterus. It's often done for heavy menstrual bleeding, fibroids, endometriosis or gynecologic cancers. You'll be under general anesthesia and typically stay 1-2 nights in the hospital."," 'એક હિસ્ટેરેક્ટોમી તમારા ગર્ભાશય દૂર કરવા માટેની સર્જરી છે. તે ઘણી વાર ભારે માસિક સ્રાવ, ફાઇબ્રોઇડ્સ, એન્ડોમેટ્રિઓસિસ અથવા સ્ત્રીરોગ સંબંધિત કેન્સર માટે કરવામાં આવે છે. તમે સામાન્ય એનેસ્થેસિયા હેઠળ હશો અને સામાન્ય રીતે હૉસ્પિટલમાં 1-2 રાત રોકાશો.', type='text')]"
"The hepatitis B vaccine is a 3-dose series that can provide long-term protection against this serious liver infection. Common side effects include soreness at the injection site, headache and fatigue."," 'હેપેટાઇટિસ B વેક્સિન એક 3-ડોઝ સિરીઝ છે જે આ ગંભીર લિવરના ચેપ સામે લાંબા ગાળાનું રક્ષણ પ્રદાન કરી શકે છે. સામાન્ય આડઅસરોમાં ઇન્જેક્શનની જગ્યાએ દુખાવો, માથાનો દુખાવો અને થાક શામેલ છે.', type='text')]"
Insulin is a hormone that helps move sugar from your bloodstream into your cells for energy. There are different types that vary in onset and duration - we'll work together to find the right regimen for you.," 'ઈન્સુલિન એક હોર્મોન છે જે તમારા લોહીપ્રવાહમાંથી શર્કરાને તમારા કોષોમાં ઊર્જા માટે ખસેડવામાં મદદ કરે છે. વિવિધ પ્રકારો છે જે શરૂઆત અને સમયગાળામાં ભિન્ન હોય છે - આપણે તમારા માટે યોગ્ય નિયમન શોધવા માટે સાથે મળીને કામ કરીશું.', type='text')]"
"An echocardiogram is an ultrasound of your heart that allows us to see its structure and function, including the heart valves and pumping capacity. It's painless and takes about 30-60 minutes."," 'ઇકોકાર્ડિયોગ્રામ એ તમારા હૃદયનો અલ્ટ્રાસાઉન્ડ છે જે આપણને તેની રચના અને કાર્ય જોવાની પરવાનગી આપે છે, જેમાં હૃદયના વાલ્વ અને પમ્પિંગ ક્ષમતાનો સમાવેશ થાય છે. તે નિર્દોષ છે અને લગભગ 30-60 મિનિટ લે છે.', type='text')]"
"Colon cancer screening is recommended starting at age 45. A colonoscopy allows us to examine your entire colon for any precancerous polyps, which can be removed during the procedure. You'll be sedated and will need someone to drive you home after."," 'કોલોન કેન્સરની તપાસ ૪૫ વર્ષની ઉંમરથી શરૂ કરવાની ભલામણ કરવામાં આવે છે. કોલોનોસ્કોપી દ્વારા આપણે તમારા સમગ્ર કોલનની તપાસ કરી શકીએ છીએ અને કોઈપણ કેન્સરપૂર્વની ગાંઠો હોય તો તેને આ પ્રક્રિયા દરમિયાન દૂર કરી શકાય છે. તમને બેભાન કરવામાં આવશે અને પ્રક્રિયા પછી તમને ઘરે લઈ જવા માટે કોઈની જરૂર પડશે.', type='text')]"
The flu shot contains an inactivated form of the influenza virus that helps your body develop antibodies to protect you from infection. It's recommended annually for everyone 6 months and older.," 'ફ્લૂ શોટમાં ઇન્ફ્લુએન્ઝા વાયરસનું નિષ્ક્રિય સ્વરૂપ હોય છે જે તમારા શરીરને ચેપથી રક્ષણ આપવા માટે એન્ટીબોડીઝ વિકસાવવામાં મદદ કરે છે. દર વર્ષે 6 મહિના અને તેથી વધુ ઉંમરના દરેક વ્યક્તિ માટે તેની ભલામણ કરવામાં આવે છે.', type='text')]"
"Asthma is a chronic lung condition where your airways become inflamed and narrow, causing wheezing and difficulty breathing. An inhaled corticosteroid helps reduce this inflammation and a rescue inhaler can provide quick relief of symptoms."," 'અસ્થમા એક લાંબા ગાળાની ફેફસાંની સ્થિતિ છે જેમાં તમારી શ્વાસનળી સોજો આવે છે અને સાંકડી થઈ જાય છે, જેના કારણે શ્વાસ લેવામાં તકલીફ અને શ્વાસ લેવામાં મુશ્કેલી થાય છે. ઇન્હેલ કરેલ કોર્ટિકોસ્ટિરોઇડ આ સોજાને ઘટાડવામાં મદદ કરે છે અને રેસ્ક્યુ ઇન્હેલર લક્ષણોને ઝડપી રાહત આપી શકે છે.', type='text')]"
"Radiation therapy uses high-energy beams to destroy cancer cells. It's often used after breast-conserving surgery for early-stage breast cancers. Side effects can include fatigue, skin irritation and swelling."," 'રેડિએશન થેરપી કૅન્સરના કોષોનો નાશ કરવા માટે હાઇ-એનર્જી બીમ્સનો ઉપયોગ કરે છે. તે પ્રારંભિક તબક્કાના સ્તન કૅન્સર માટે સ્તન-સંરક્ષણ સર્જરી પછી ઘણી વખત વપરાય છે. આડઅસરોમાં થાક, ત્વચાની જલન અને સોજો શામેલ હોઈ શકે છે.', type='text')]"
"GERD is a condition where stomach acid flows back into your esophagus, causing heartburn and potential damage. Lifestyle changes like avoiding trigger foods, eating smaller meals, and not lying down after eating can help, as can medications to reduce acid production."," 'GERD એક એવી સ્થિતિ છે જ્યાં પેટનો એસિડ તમારી ઈસોફેગસમાં પાછો વહે છે, જેનાથી હૃદયમાં બળતરા અને સંભવિત નુકસાન થાય છે. ટ્રિગર ફૂડ્સને ટાળવા, ઓછા ભોજન લેવા અને ભોજન પછી સૂઈ ન જવા જેવા જીવનશૈલીમાં ફેરફાર મદદરૂપ થઈ શકે છે, તેમજ એસિડનું ઉત્પાદન ઘટાડવા માટે દવાઓ પણ લઈ શકાય છે.', type='text')]"
"Be sure to finish all 10 days of your antibiotic, even if you're feeling better sooner, to fully treat your pneumonia."," 'તમારી antibiotic ની ૧૦ દિવસની કોર્સ પૂરી કરવાનું ચોક્કસ કરો, ભલે તમને વહેલા સારું લાગતું હોય, તમારા ન્યુમોનિયાની સંપૂર્ણ સારવાર કરવા માટે.', type='text')]"
Schedule a follow-up appointment with your primary care doctor within 1 week of discharge to have your blood pressure rechecked and medications adjusted if needed.," 'ડિસ્ચાર્જ પછી એક અઠવાડિયાની અંદર તમારા પ્રાથમિક કાળજી ડૉક્ટર સાથે ફોલો-અપ એપોઇન્ટમેન્ટ નક્કી કરો જેથી તમારું બ્લડ પ્રેશર ફરીથી તપાસી શકાય અને જરૂર પડે તો દવાઓમાં ફેરફાર કરી શકાય.', type='text')]"
Avoid strenuous activity or heavy lifting for the next 6 weeks as your incision heals from surgery. Gradually increase your activity as tolerated.," 'ઓપરેશન પછી તમારા ઘાને રુઝાવવા માટે આગામી 6 અઠવાડિયા સુધી જોરદાર પ્રવૃત્તિ અથવા ભારે ઉપાડવાનું ટાળો. તમારી ક્ષમતા મુજબ ધીમે ધીમે તમારી પ્રવૃત્તિ વધારો.', type='text')]"
"Take your pain medication as prescribed, but try to wean off it and switch to over-the-counter acetaminophen or ibuprofen in the next few days."," 'તમારી દર્દનાશક દવાઓ લખ્યા પ્રમાણે લો, પરંતુ આગામી થોડા દિવસોમાં તેનાથી દૂર થવાનો અને કાઉન્ટર પરની એસિટામિનોફેન અથવા આઇબુપ્રોફેન પર સ્વિચ કરવાનો પ્રયાસ કરો.', type='text')]"
Use your incentive spirometer 10 times per hour while awake to keep your lungs expanded and prevent pneumonia after surgery.," 'ઑપરેશન પછી ન્યુમોનિયા ના થાય અને ફેફસાં ફૂલેલા રહે તે માટે જાગૃત હો ત્યારે દર કલાકે 10 વાર તમારા ઇન્સેન્ટિવ સ્પિરોમીટરનો ઉપયોગ કરો.', type='text')]"
"Change your wound dressing daily and keep the area clean and dry. Call the office if you note any increased redness, swelling, discharge or fever, which could indicate an infection."," 'તમારી ઘા પટ્ટી રોજ બદલો અને તે વિસ્તારને સ્વચ્છ અને સૂકી રાખો. જો તમે વધારે લાલાશ, સોજો, સ્ત્રાવ અથવા તાવ નોંધો, જે ચેપનો સંકેત આપી શકે છે, તો ઓફિસમાં ફોન કરો.', type='text')]"
"Stick to a low-sodium diet of less than 2 grams per day and weigh yourself daily. If you gain 3 pounds in 2 days, call the office as your heart failure may be worsening."," '૨ ગ્રામ કરતાં ઓછા સોડિયમવાળા આહારનું પાલન કરો અને દરરોજ તમારું વજન કરો. જો તમે ૨ દિવસમાં ૩ પાઉન્ડનો વધારો કરો, તો ઓફિસમાં ફોન કરો કારણ કે તમારા હૃદયની નિષ્ફળતા વધી રહી હોઈ શકે છે.', type='text')]"
"Check your blood sugar before meals and at bedtime. If it's consistently above 200 or below 8, let your doctor know so your diabetes medication can be adjusted."," 'ખોરાક પહેલાં અને સૂતી વખતે તમારી બ્લડ શુગરની તપાસ કરો. જો તે સતત 200 થી ઉપર અથવા 80 થી નીચે હોય, તો તમારા ડૉક્ટરને જાણ કરો જેથી તમારી ડાયાબિટીસની દવાઓમાં ફેરફાર કરી શકાય.', type='text')]"
Take your antiseizure medication at the same time every day and don't skip doses to maintain a steady level in your system. Avoid alcohol as it can worsen seizures.," 'રોજ એક જ સમયે તમારી એન્ટીસીઝર દવાઓ લો અને તમારી સિસ્ટમમાં સ્થિર સ્તર જાળવી રાખવા માટે ડોઝ છોડશો નહીં. દારૂથી દૂર રહો કારણ કે તે સીઝરને વધુ ખરાબ કરી શકે છે.', type='text')]"
Begin with gentle range of motion exercises for your knee as instructed. Ice the area for 15-20 minutes several times daily to reduce pain and swelling. Start physical therapy next week.," 'તમને સૂચવ્યા મુજબ તમારા ઘૂંટણ માટે હળવી રેન્જ ઓફ મોશન કસરતો શરૂ કરો. દુખાવો અને સોજો ઘટાડવા માટે દિવસમાં ઘણી વખત 15-20 મિનિટ સુધી વિસ્તારને આઇસ કરો. આગામી અઠવાડિયે ફિઝિકલ થેરપી શરૂ કરો.', type='text')]"
"I've been having this dull, aching chest pain for the past few weeks, especially when I exert myself."," 'હું છેલ્લા થોડા અઠવાડિયાથી આ ઊંડો, દુખાવો થતો છાતીનો દુખાવો અનુભવી રહ્યો છું, ખાસ કરીને જ્યારે હું શારીરિક પ્રયત્ન કરું છું ત્યારે.', type='text')]"
"I've noticed some shortness of breath lately, even just walking up a flight of stairs."," 'મને થોડા સમયથી શ્વાસ લેવામાં તકલીફ થાય છે, માત્ર સીડી ચડતી વખતે પણ.', type='text')]"
"My mom and grandpa both had heart attacks in their 50s, so I'm worried about my risk."," 'મારી મમ્મી અને દાદાને બંનેને 50ની ઉંમરમાં હાર્ટ એટેક આવ્યો હતો, તેથી મને મારા જોખમ વિષે ચિંતા થાય છે.', type='text')]"
I found a lump in my left breast during a self-exam last month. It hasn't gone away.," 'છેલ્લા મહિનામાં સેલ્ફ-એક્ઝામ દરમિયાન મને મારી ડાબી છાતીમાં એક ગાંઠ મળી હતી. તે હજી પણ ગયું નથી.', type='text')]"
I've lost about 15 pounds in the last 2 months without really trying.," 'હું છેલ્લા ૨ મહિનામાં લગભગ ૧૫ પાઉન્ડ ગુમાવી દીધું છે ખરેખર પ્રયત્ન કર્યા વગર.', type='text')]"
"I'm waking up drenched in sweat a few times a week, but I don't feel like I have a fever."," 'હું અઠવાડિયામાં થોડી વાર પરસેવાથી લથબથ થઈને જાગું છું, પણ મને એવું લાગતું નથી કે મને તાવ આવ્યો છે.', type='text')]"
I'm using my albuterol inhaler 3-4 times a day lately to control my asthma symptoms.," 'હું મારા અસ્થમાના લક્ષણોને નિયંત્રિત કરવા માટે હાલમાં દિવસમાં 3-4 વાર મારો અલ્બ્યુટેરોલ ઇન્હેલર વાપરી રહ્યો છું.', type='text')]"
"The stiffness and achiness in my hands is always worse in the mornings, and seems to be progressing."," 'મારા હાથમાં સખતાઈ અને દુખાવો હંમેશા સવારે વધારે ખરાબ હોય છે, અને એવું લાગે છે કે તે વધતો જાય છે.', type='text')]"
I traveled out of the country last month and had a bad case of diarrhea. I've mostly recovered but still don't feel good and have a constant pain in my stomach.," 'હું ગયા મહિને દેશની બહાર પ્રવાસે ગયો હતો અને મને ઝાડાની ખૂબ તકલીફ થઈ હતી. હું મોટા ભાગે સાજો થઈ ગયો છું, પરંતુ હજુ પણ સારું લાગતું નથી અને મારા પેટમાં સતત દુખાવો થાય છે.', type='text')]"
The headaches started a few weeks ago - they get pretty intense and are sometimes accompanied by nausea and blurred vision.," 'અમુક અઠવાડિયા પહેલાં માથાનો દુખાવો શરૂ થયો હતો - તે ખૂબ તીવ્ર બને છે અને ક્યારેક ઊલટી અને ધૂંધળી દ્રષ્ટિ સાથે હોય છે.', type='text')]"
I'm concerned about taking this new medication - I've heard it can cause muscle aches and liver damage.," 'મને આ નવી દવા લેવાની ચિંતા છે - મેં સાંભળ્યું છે કે તેનાથી સ્નાયુ દુખાવો અને લિવરને નુકસાન થઈ શકે છે.', type='text')]"
What kind of side effects can I expect from metformin? Will it interact with any of my other medications?," 'મેટફોર્મિનથી મને કેવી આડઅસરો થઈ શકે? શું એ મારી અન્ય કોઈ દવાઓ સાથે પ્રતિક્રિયા કરશે?', type='text')]"
I've tried a few different antidepressants in the past and didn't tolerate them well. How is sertraline different?," 'મેં ભૂતકાળમાં કેટલીક અલગ અલગ એન્ટિડિપ્રેસન્ટ દવાઓ લેવાનો પ્રયાસ કર્યો છે પરંતુ તેનાથી મને ફાયદો થયો નથી. સર્ટ્રાલિન કેવી રીતે અલગ છે?', type='text')]"
I'm hesitant to start an opioid medication for my chronic pain given the risk of addiction and side effects. In our culture we don’t really believe in these types of treatments.," 'હું મારી લાંબા ગાળાની પીડા માટે વ્યસનની અને આડઅસરોના જોખમને જોતાં ઓપિયોડ દવા શરૂ કરવા અચકાઉં છું. આપણી સંસ્કૃતિમાં આપણે ખરેખર આ પ્રકારની સારવારમાં માનતા નથી.', type='text')]"
What's the recovery time like after ACL surgery? Will I be able to do all the normal activities I did previously?," 'ACL સર્જરી પછી રિકવરીનો સમય કેવો હોય છે? શું હું પહેલાં કરતો હતો એ બધી સામાન્ય પ્રવૃત્તિઓ કરવા સક્ષમ હોઈશ?', type='text')]"
"I've been trying to watch my sodium intake and exercise more often, but my blood pressure is still high when I measure it at home. What can I do to improve this, doctor?"," 'હું મારા સોડિયમ ઇનટેકને ધ્યાનમાં રાખવાનો અને વધુ વખત એક્સરસાઇઝ કરવાનો પ્રયાસ કરી રહ્યો છું, પરંતુ જ્યારે હું ઘરે માપું છું ત્યારે મારું બ્લડ પ્રેશર હજી પણ ઊંચું છે. ડૉક્ટર, આમાં સુધારો કરવા માટે હું શું કરી શકું?', type='text')]"
How will the oncologist determine what type of treatment I need for my breast cancer? I have heard cancer treatments cause a lot of terrible side effects. I’m very frightened of that.," 'ઓન્કોલોજિસ્ટ કેવી રીતે નક્કી કરશે કે મારા બ્રેસ્ટ કૅન્સર માટે મને કેવા પ્રકારની સારવારની જરૂર છે? મેં સાંભળ્યું છે કે કૅન્સરની સારવારથી ઘણી ભયંકર આડઅસરો થાય છે. હું તેનાથી ખૂબ ડરી ગઈ છું.', type='text')]"
I've tried a few different medications for my migraines but haven't found one that helps prevent them. What else can we try?," 'મેં મારી માઇગ્રેન માટે અલગ અલગ દવાઓ અજમાવી છે, પણ એવી કોઈ દવા મળી નથી જે તેને અટકાવવામાં મદદ કરે. આપણે બીજું શું પ્રયાસ કરી શકીએ?', type='text')]"
